score,count,cumulative,source
293,39,36229,gankaosheng.com/line/5e559683.html
292,344,36573,gankaosheng.com/line/5e559683.html
291,191,36764,gankaosheng.com/line/5e559683.html
290,161,36925,gankaosheng.com/line/5e559683.html
289,190,37115,gankaosheng.com/line/5e559683.html
288,158,37273,gankaosheng.com/line/5e559683.html
287,200,37473,gankaosheng.com/line/5e559683.html
286,120,37593,gankaosheng.com/line/5e559683.html
285,245,37838,gankaosheng.com/line/5e559683.html
284,171,38009,gankaosheng.com/line/5e559683.html
283,215,38224,gankaosheng.com/line/5e559683.html
282,181,38405,gankaosheng.com/line/5e559683.html
281,190,38595,gankaosheng.com/line/5e559683.html
280,151,38746,gankaosheng.com/line/5e559683.html
279,208,38954,gankaosheng.com/line/5e559683.html
278,147,39101,gankaosheng.com/line/5e559683.html
277,227,39328,gankaosheng.com/line/5e559683.html
276,151,39479,gankaosheng.com/line/5e559683.html
275,194,39673,gankaosheng.com/line/5e559683.html
274,180,39853,gankaosheng.com/line/5e559683.html
273,167,40020,gankaosheng.com/line/5e559683.html
272,97,40117,gankaosheng.com/line/5e559683.html
271,259,40376,gankaosheng.com/line/5e559683.html
270,161,40537,gankaosheng.com/line/5e559683.html
269,77,40614,gankaosheng.com/line/5e559683.html
268,280,40894,gankaosheng.com/line/5e559683.html
267,144,41038,gankaosheng.com/line/5e559683.html
266,173,41211,gankaosheng.com/line/5e559683.html
265,144,41355,gankaosheng.com/line/5e559683.html
264,100,41455,gankaosheng.com/line/5e559683.html
263,240,41695,gankaosheng.com/line/5e559683.html
262,152,41847,gankaosheng.com/line/5e559683.html
261,165,42012,gankaosheng.com/line/5e559683.html
260,70,42082,gankaosheng.com/line/5e559683.html
259,209,42291,gankaosheng.com/line/5e559683.html
258,119,42410,gankaosheng.com/line/5e559683.html
257,68,42478,gankaosheng.com/line/5e559683.html
256,168,42646,gankaosheng.com/line/5e559683.html
255,158,42804,gankaosheng.com/line/5e559683.html
254,179,42983,gankaosheng.com/line/5e559683.html
253,203,43186,gankaosheng.com/line/5e559683.html
252,161,43347,gankaosheng.com/line/5e559683.html
251,125,43472,gankaosheng.com/line/5e559683.html
250,153,43625,gankaosheng.com/line/5e559683.html
249,150,43775,gankaosheng.com/line/5e559683.html
248,99,43874,gankaosheng.com/line/5e559683.html
247,158,44032,gankaosheng.com/line/5e559683.html
246,138,44170,gankaosheng.com/line/5e559683.html
245,77,44247,gankaosheng.com/line/5e559683.html
244,86,44333,gankaosheng.com/line/5e559683.html
243,193,44526,gankaosheng.com/line/5e559683.html
242,141,44667,gankaosheng.com/line/5e559683.html
241,92,44759,gankaosheng.com/line/5e559683.html
240,147,44906,gankaosheng.com/line/5e559683.html
239,110,45016,gankaosheng.com/line/5e559683.html
238,107,45123,gankaosheng.com/line/5e559683.html
237,111,45234,gankaosheng.com/line/5e559683.html
236,198,45432,gankaosheng.com/line/5e559683.html
235,111,45543,gankaosheng.com/line/5e559683.html
234,101,45644,gankaosheng.com/line/5e559683.html
233,61,45705,gankaosheng.com/line/5e559683.html
232,143,45848,gankaosheng.com/line/5e559683.html
231,119,45967,gankaosheng.com/line/5e559683.html
230,120,46087,gankaosheng.com/line/5e559683.html
229,116,46203,gankaosheng.com/line/5e559683.html
228,93,46296,gankaosheng.com/line/5e559683.html
227,87,46383,gankaosheng.com/line/5e559683.html
226,89,46472,gankaosheng.com/line/5e559683.html
225,47,46519,gankaosheng.com/line/5e559683.html
224,108,46627,gankaosheng.com/line/5e559683.html
223,89,46716,gankaosheng.com/line/5e559683.html
222,84,46800,gankaosheng.com/line/5e559683.html
221,107,46907,gankaosheng.com/line/5e559683.html
220,85,46992,gankaosheng.com/line/5e559683.html
219,111,47103,gankaosheng.com/line/5e559683.html
218,37,47140,gankaosheng.com/line/5e559683.html
217,100,47240,gankaosheng.com/line/5e559683.html
216,131,47371,gankaosheng.com/line/5e559683.html
215,93,47464,gankaosheng.com/line/5e559683.html
214,25,47489,gankaosheng.com/line/5e559683.html
213,73,47562,gankaosheng.com/line/5e559683.html
212,103,47665,gankaosheng.com/line/5e559683.html
211,68,47733,gankaosheng.com/line/5e559683.html
210,81,47814,gankaosheng.com/line/5e559683.html
209,84,47898,gankaosheng.com/line/5e559683.html
208,58,47956,gankaosheng.com/line/5e559683.html
207,37,47993,gankaosheng.com/line/5e559683.html
206,28,48021,gankaosheng.com/line/5e559683.html
205,67,48088,gankaosheng.com/line/5e559683.html
204,82,48170,gankaosheng.com/line/5e559683.html
203,73,48243,gankaosheng.com/line/5e559683.html
202,45,48288,gankaosheng.com/line/5e559683.html
201,67,48355,gankaosheng.com/line/5e559683.html
200,55,48410,gankaosheng.com/line/5e559683.html
199,53,48463,gankaosheng.com/line/5e559683.html
198,47,48510,gankaosheng.com/line/5e559683.html
197,47,48557,gankaosheng.com/line/5e559683.html
196,1101,49658,gankaosheng.com/line/5e559683.html
195,194,49852,gankaosheng.com/line/5e559683.html
194,557,50409,gankaosheng.com/line/5e559683.html
193,458,50867,gankaosheng.com/line/5e559683.html
192,430,51297,gankaosheng.com/line/5e559683.html
191,314,51611,gankaosheng.com/line/5e559683.html
190,397,52008,gankaosheng.com/line/5e559683.html
189,398,52406,gankaosheng.com/line/5e559683.html
188,281,52687,gankaosheng.com/line/5e559683.html
187,532,53219,gankaosheng.com/line/5e559683.html
186,435,53654,gankaosheng.com/line/5e559683.html
185,436,54090,gankaosheng.com/line/5e559683.html
184,236,54326,gankaosheng.com/line/5e559683.html
183,382,54708,gankaosheng.com/line/5e559683.html
182,437,55145,gankaosheng.com/line/5e559683.html
181,255,55400,gankaosheng.com/line/5e559683.html
180,399,55799,gankaosheng.com/line/5e559683.html
179,435,56234,gankaosheng.com/line/5e559683.html
178,394,56628,gankaosheng.com/line/5e559683.html
177,326,56954,gankaosheng.com/line/5e559683.html
176,441,57395,gankaosheng.com/line/5e559683.html
175,233,57628,gankaosheng.com/line/5e559683.html
174,418,58046,gankaosheng.com/line/5e559683.html
173,464,58510,gankaosheng.com/line/5e559683.html
172,372,58882,gankaosheng.com/line/5e559683.html
171,140,59022,gankaosheng.com/line/5e559683.html
170,395,59417,gankaosheng.com/line/5e559683.html
169,278,59695,gankaosheng.com/line/5e559683.html
168,186,59881,gankaosheng.com/line/5e559683.html
167,326,60207,gankaosheng.com/line/5e559683.html
166,395,60602,gankaosheng.com/line/5e559683.html
165,321,60923,gankaosheng.com/line/5e559683.html
164,343,61266,gankaosheng.com/line/5e559683.html
163,194,61460,gankaosheng.com/line/5e559683.html
162,395,61855,gankaosheng.com/line/5e559683.html
161,99,61954,gankaosheng.com/line/5e559683.html
160,231,62185,gankaosheng.com/line/5e559683.html
